season,episode,scene,line,term_str,n,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
1,2,27,461,love,1,0.1446066020821343,VBP,0,0,0,0,1,0,0,0,1
1,2,27,465,good,1,0.10457096221881344,JJ,0,1,0,0,1,0,1,1,1
1,2,27,465,offensive,1,0.23538574914372343,JJ,1,0,1,0,0,0,0,0,-1
1,2,28,466,shoulder,1,0.7160801409911759,NN,0,0,0,0,0,0,0,1,1
1,2,29,473,bad,1,1.4939211391060843,JJ,1,0,1,1,0,1,0,0,-1
1,2,30,474,promise,1,0.5780053536737736,VBP,0,0,0,0,1,0,0,1,1
1,2,30,475,erase,1,0.9032371357950163,VB,0,0,0,1,0,0,0,0,-1
1,2,30,476,erase,1,1.6935696296156555,VB,0,0,0,1,0,0,0,0,-1
1,2,32,482,hero,2,0.7926340837311328,NN,0,1,0,0,1,0,1,1,1
1,2,32,482,honesty,1,0.4507424227285745,NN,0,0,0,0,0,0,0,1,1
1,2,32,482,respect,1,0.3664150077152848,NN,0,1,0,0,1,0,0,1,1
1,2,32,483,hero,1,0.20189736095038288,NN,0,1,0,0,1,0,1,1,1
1,2,32,486,good,1,4.914835224284232,JJ,0,1,0,0,1,0,1,1,1
