term_str,term_rank,n,p,i,n_chars,max_pos_group,max_pos,n_pos_group,n_pos,stop,porter_stem,df,idf,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
irrational,10814,2,2.5483388016436784e-06,18.58201147267282,10,JJ,JJ,1,1,0,irrat,2,14.870485131812606,29.74097026362521,0,0,1,1,0,1,0,0,0,0,-1
abnormal,10830,2,2.5483388016436784e-06,18.58201147267282,8,JJ,JJ,1,1,0,abnorm,2,14.870485131812606,29.74097026362521,0,0,1,0,0,1,0,0,0,0,-1
healing,10836,2,2.5483388016436784e-06,18.58201147267282,7,JJ,JJ,2,2,0,heal,2,14.870485131812606,29.74097026362521,0,1,0,0,1,0,1,0,0,1,1
eradicate,10878,2,2.5483388016436784e-06,18.58201147267282,9,VB,VB,1,1,0,erad,2,14.870485131812606,29.74097026362521,1,0,0,0,0,1,0,0,0,0,-1
sarcasm,10903,2,2.5483388016436784e-06,18.58201147267282,7,NN,NN,1,1,0,sarcasm,2,14.870485131812606,29.74097026362521,1,0,1,0,0,1,0,1,0,0,-1
stalk,10904,2,2.5483388016436784e-06,18.58201147267282,5,NN,NNP,2,2,0,stalk,2,14.870485131812606,29.74097026362521,0,0,0,1,0,1,0,0,0,0,-1
grandchildren,10920,2,2.5483388016436784e-06,18.58201147267282,13,NN,NNS,1,1,0,grandchildren,2,14.870485131812606,29.74097026362521,0,1,0,0,1,0,1,0,0,1,1
counsel,10921,2,2.5483388016436784e-06,18.58201147267282,7,NN,NN,1,1,0,counsel,2,14.870485131812606,29.74097026362521,0,0,0,0,0,0,1,0,0,1,1
prejudice,10928,2,2.5483388016436784e-06,18.58201147267282,9,NN,NN,1,1,0,prejudic,2,14.870485131812606,29.74097026362521,1,0,0,0,0,1,0,0,0,0,-1
darkness,10940,2,2.5483388016436784e-06,18.58201147267282,8,NN,NN,1,1,0,dark,2,14.870485131812606,29.74097026362521,1,0,0,1,0,1,0,1,0,0,-1
runaway,10969,2,2.5483388016436784e-06,18.58201147267282,7,NN,NNP,1,1,0,runaway,1,15.870485131812606,15.870485131812606,0,0,0,0,0,1,0,1,0,0,-1
swamp,11000,2,2.5483388016436784e-06,18.58201147267282,5,NN,NN,1,1,0,swamp,2,14.870485131812606,29.74097026362521,0,0,1,1,0,1,0,0,0,0,-1
